Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Std
3.378131,151,33865,1292,73,224.27152317880797,1292,64,172174.79132692012,192.41408932927703,0.0052051325115562,0.0388927672839765,0.0,0.0223625933333333,1e-05,3.358727999999999,0.0067444337349397,0.0461792569710494,0.934435,0.0,0,0,1208,44.69927305957051,147.71481626970652,64,293512.4961159763,0,0,0,0,0,3.304635761589404,0,0,0.0,0.0,0.0,0.0,0.0
0.002516,1,88,88,88,88.0,104,104,76311.60572337043,794.912559618442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,397.456279809221,397.456279809221,88,64.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002374,1,96,96,96,96.0,141,141,99831.50800336985,842.4599831508004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,421.2299915754002,421.2299915754002,96,506.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002364,1,86,86,86,86.0,102,102,79526.22673434856,846.0236886632825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,423.01184433164127,423.01184433164127,86,64.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.003146,1,82,82,82,82.0,338,338,133502.86077558805,635.7279084551813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,317.8639542275906,317.8639542275906,82,16384.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.007233,1,82,82,82,82.0,139,139,30554.403428729434,276.51043826904464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,138.25521913452232,138.25521913452232,82,812.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.195145,19,5980,1292,73,314.7368421052632,1292,67,152409.746598683,235.72215532040275,0.0043365555555555,0.0094395202504165,0.0,0.0108413888888888,4.1e-05,0.1680819999999999,0.0064646923076923,0.0129357590891689,0.054822,0.0,0,0,152,97.3634989366881,138.35865638371467,67,314240.9848771267,0,0,0,0,0,1.4210526315789471,0,0,0.0,0.0,0.0,0.0,0.0
0.002502,1,90,90,90,90.0,106,106,78337.33013589129,799.3605115907275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,399.6802557953637,399.6802557953637,90,64.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002365,1,90,90,90,90.0,140,140,97251.58562367863,845.6659619450318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,422.8329809725159,422.8329809725159,90,625.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.200781,15,8926,1292,73,595.0666666666667,1292,64,78259.39705450217,144.43597750783192,0.00717075,0.0192934132072969,0.0,0.0139858571428571,9e-06,0.111709,0.008593,0.016359847385032,0.050892,0.0,0,0,120,74.70826422818892,69.727713279643,64,299718.00475624256,0,0,0,0,0,0.9333333333333332,0,0,0.0,0.0,0.0,0.0,0.0
6.758419,32,7911,565,124,247.21875,0,0,1170.5400331053756,4.73483517372924,0.2180135161290322,0.5127681936754199,0.0,0.2180135161290322,0.0,0.0,0.0,0.0,0.0,0.0,0,0,256,4.73483517372924,0.0,124,11766.8583984375,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
